1: rewire_factor='200', samples_per_batch='100', stop_on_each_solution_improvement='1'
2: rewire_factor='249', samples_per_batch='251130', stop_on_each_solution_improvement='1'
3: rewire_factor='281', samples_per_batch='509043', stop_on_each_solution_improvement='1'
4: rewire_factor='128', samples_per_batch='779343', stop_on_each_solution_improvement='1'
5: rewire_factor='189', samples_per_batch='141089', stop_on_each_solution_improvement='1'
6: rewire_factor='280', samples_per_batch='93039', stop_on_each_solution_improvement='1'
7: rewire_factor='217', samples_per_batch='693232', stop_on_each_solution_improvement='1'
8: rewire_factor='209', samples_per_batch='976919', stop_on_each_solution_improvement='1'
9: rewire_factor='291', samples_per_batch='600315', stop_on_each_solution_improvement='1'
10: rewire_factor='118', samples_per_batch='466268', stop_on_each_solution_improvement='1'
11: rewire_factor='185', samples_per_batch='62399', stop_on_each_solution_improvement='1'
12: rewire_factor='130', samples_per_batch='487848', stop_on_each_solution_improvement='1'
13: rewire_factor='183', samples_per_batch='153992', stop_on_each_solution_improvement='1'
14: rewire_factor='269', samples_per_batch='475450', stop_on_each_solution_improvement='1'
15: rewire_factor='293', samples_per_batch='355373', stop_on_each_solution_improvement='1'
16: rewire_factor='129', samples_per_batch='509283', stop_on_each_solution_improvement='1'
