Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,11.2989301682,0,1.7976931348623157E308,-1,11.2989301682,0.0,1,0.0,0,11.2989301682,SAT,,14.367,
2,2,1,27.6968421936,0,15.691209744262693,-1,27.6968421936,0.0,1,0.0,1,38.9957723618,SAT,,30.731,
3,3,1,27.6748054028,0,15.691209744262693,-1,27.6748054028,0.0,1,0.0,1,66.6705777646,SAT,,30.702,
4,4,1,27.7105779648,0,15.691209744262693,-1,27.7105779648,0.0,1,0.0,2,94.38115572939999,SAT,,30.905,
5,5,1,27.664195776,0,15.691209744262693,-1,27.664195776,0.0,1,0.0,2,122.04535150539999,SAT,,30.008,
6,6,1,27.7073411942,0,15.691209744262693,-1,27.7073411942,0.0,1,0.0,3,149.7526926996,SAT,,30.252,
7,7,1,27.7039523125,0,15.691209744262693,-1,27.7039523125,0.0,1,0.0,3,177.4566450121,SAT,,30.494,
8,8,1,27.701158762,0,15.691209744262693,-1,27.701158762,0.0,1,0.0,4,205.15780377410002,SAT,,30.796,
9,9,1,27.6961700916,0,15.691209744262693,-1,27.6961700916,0.0,1,0.0,4,232.85397386570003,SAT,,30.743,
10,10,1,27.6947920322,0,15.691209744262693,-1,27.6947920322,0.0,1,0.0,5,260.5487658979,SAT,,30.691,
11,11,1,27.7261834145,0,15.691209744262693,-1,27.7261834145,0.0,1,0.0,5,288.2749493124,SAT,,30.613,
12,12,1,22.5470674038,0,15.691209744262693,-1,22.5470674038,0.0,1,0.0,6,310.8220167162,SAT,,25.42,
13,13,1,27.6903758049,0,15.691209744262693,-1,27.6903758049,0.0,1,0.0,6,338.51239252109997,SAT,,30.818,
14,14,1,12.8255255222,0,15.691209744262693,-1,12.8255255222,0.0,1,0.0,7,351.33791804329996,SAT,,15.916,
15,15,1,27.671875,0,15.691209744262693,-1,27.671875,0.0,1,0.0,7,379.00979304329996,SAT,,30.684,
16,16,1,12.7176349163,0,15.691209744262693,-1,12.7176349163,0.0,1,0.0,8,391.72742795959994,SAT,,15.131,
17,17,1,27.719016552,0,15.691209744262693,-1,27.719016552,0.0,1,0.0,8,419.4464445115999,SAT,,30.61,
18,18,1,19.8342151642,0,15.691209744262693,-1,19.8342151642,0.0,1,0.0,9,439.2806596757999,SAT,,22.718,
19,19,1,27.7243778706,0,15.691209744262693,-1,27.7243778706,0.0,1,0.0,9,467.0050375463999,SAT,,30.713,
20,20,1,27.6700224876,0,15.691209744262693,-1,27.6700224876,0.0,1,0.0,10,494.6750600339999,SAT,,30.031,
21,21,1,19.4148483276,0,15.691209744262693,-1,19.4148483276,0.0,1,0.0,11,514.0899083615999,SAT,,22.382,
22,22,1,27.721622467,0,15.691209744262693,-1,27.721622467,0.0,1,0.0,11,541.8115308285999,SAT,,30.634,
23,23,1,13.9009416103,0,15.691209744262693,-1,13.9009416103,0.0,1,0.0,12,555.7124724388999,SAT,,16.863,
24,24,1,27.7007410526,0,15.691209744262693,-1,27.7007410526,0.0,1,0.0,12,583.4132134915,SAT,,30.615,
25,25,1,17.5712656975,0,15.691209744262693,-1,17.5712656975,0.0,1,0.0,13,600.984479189,SAT,,20.45,
26,26,1,27.7178504467,0,15.691209744262693,-1,27.7178504467,0.0,1,0.0,13,628.7023296357,SAT,,30.204,
27,27,1,12.8928306103,0,15.691209744262693,-1,12.8928306103,0.0,1,0.0,14,641.5951602460001,SAT,,15.431,
28,28,1,27.6942839622,0,15.691209744262693,-1,27.6942839622,0.0,1,0.0,14,669.2894442082,SAT,,30.587,
29,29,1,12.9532506466,0,15.691209744262693,-1,12.9532506466,0.0,1,0.0,15,682.2426948548001,SAT,,15.985,
30,30,1,27.7311351299,0,15.691209744262693,-1,27.7311351299,0.0,1,0.0,15,709.9738299847002,SAT,,30.112,
31,31,1,13.9208152294,0,15.691209744262693,-1,13.9208152294,0.0,1,0.0,16,723.8946452141001,SAT,,17.064,
32,32,1,27.7659487724,0,15.691209744262693,-1,27.7659487724,0.0,1,0.0,16,751.6605939865001,SAT,,30.748,
33,33,1,17.7733030319,0,15.691209744262693,-1,17.7733030319,0.0,1,0.0,17,769.4338970184001,SAT,,20.759,
34,34,1,27.7328808308,0,15.691209744262693,-1,27.7328808308,0.0,1,0.0,17,797.1667778492001,SAT,,30.664,
35,35,1,13.610657692,0,15.691209744262693,-1,13.610657692,0.0,1,0.0,18,810.7774355412001,SAT,,16.654,
36,36,1,27.7373919487,0,15.691209744262693,-1,27.7373919487,0.0,1,0.0,18,838.5148274899001,SAT,,30.267,
37,37,1,17.8855202198,0,15.691209744262693,-1,17.8855202198,0.0,1,0.0,19,856.4003477097001,SAT,,20.951,
38,38,1,27.7239193916,0,15.691209744262693,-1,27.7239193916,0.0,1,0.0,19,884.1242671013001,SAT,,30.614,
39,39,1,12.617483139,0,15.691209744262693,-1,12.617483139,0.0,1,0.0,20,896.7417502403001,SAT,,15.814,
40,40,1,27.7319276333,0,15.691209744262693,-1,27.7319276333,0.0,1,0.0,20,924.4736778736001,SAT,,30.719,
41,41,1,13.2398512363,0,15.691209744262693,-1,13.2398512363,0.0,1,0.0,21,937.7135291099,SAT,,15.534,
42,42,1,27.700763464,0,15.691209744262693,-1,27.700763464,0.0,1,0.0,21,965.4142925739001,SAT,,30.911,
43,43,1,12.7257459164,0,15.691209744262693,-1,12.7257459164,0.0,1,0.0,22,978.1400384903001,SAT,,15.607,
44,44,1,27.704123497,0,15.691209744262693,-1,27.704123497,0.0,1,0.0,22,1005.8441619873,SAT,,30.635,
45,45,1,13.8930912018,0,15.691209744262693,-1,13.8930912018,0.0,1,0.0,23,1019.7372531891,SAT,,17.043,
46,46,1,27.7095201015,0,15.691209744262693,-1,27.7095201015,0.0,1,0.0,23,1047.4467732906,SAT,,30.636,
47,47,1,13.2865684032,0,15.691209744262693,-1,13.2865684032,0.0,1,0.0,24,1060.7333416938,SAT,,15.632,
48,48,1,27.7069964409,0,15.691209744262693,-1,27.7069964409,0.0,1,0.0,24,1088.4403381347,SAT,,30.72,
