1: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='200', samples_per_batch='100', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
2: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='44', rewire_factor='239', samples_per_batch='933388', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
3: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='82', rewire_factor='171', samples_per_batch='971444', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
4: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='100', rewire_factor='170', samples_per_batch='946733', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
5: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='30', rewire_factor='152', samples_per_batch='552835', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
6: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='63', rewire_factor='238', samples_per_batch='101224', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
7: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='23', rewire_factor='217', samples_per_batch='318273', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
8: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='20', rewire_factor='153', samples_per_batch='61097', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
9: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='81', rewire_factor='226', samples_per_batch='652801', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
10: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='41', rewire_factor='167', samples_per_batch='311420', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
11: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='63', rewire_factor='281', samples_per_batch='652362', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
12: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='30', rewire_factor='218', samples_per_batch='1460', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
13: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='32', rewire_factor='295', samples_per_batch='62059', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
14: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='200', samples_per_batch='100', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
15: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='95', rewire_factor='170', samples_per_batch='998141', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
16: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='20', rewire_factor='278', samples_per_batch='98', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
17: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='9', rewire_factor='159', samples_per_batch='770784', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
18: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='97', rewire_factor='159', samples_per_batch='456', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
