Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,1.11702489853,0,1.7976931348623157E308,-1,1.11702489853,0.0,1,0.0,0,1.11702489853,SAT,,4.101,
2,2,1,6.26191854477,0,2.454733513641357,-1,6.26191854477,0.0,1,0.0,1,7.378943443300001,SAT,,9.19,
3,3,1,6.26678323746,0,2.454733513641357,-1,6.26678323746,0.0,1,0.0,1,13.645726680760001,SAT,,9.277,
4,4,1,6.25780439377,0,2.454733513641357,-1,6.25780439377,0.0,1,0.0,2,19.90353107453,SAT,,9.191,
5,5,1,6.26463198662,0,2.454733513641357,-1,6.26463198662,0.0,1,0.0,2,26.16816306115,SAT,,9.347,
6,6,1,6.26579189301,0,2.454733513641357,-1,6.26579189301,0.0,1,0.0,3,32.43395495416,SAT,,9.045,
7,7,1,6.26723122597,0,2.454733513641357,-1,6.26723122597,0.0,1,0.0,3,38.70118618013,SAT,,8.748,
8,8,1,6.26273107529,0,2.454733513641357,-1,6.26273107529,0.0,1,0.0,4,44.96391725542,SAT,,9.266,
9,9,1,6.28618717194,0,2.454733513641357,-1,6.28618717194,0.0,1,0.0,4,51.25010442736,SAT,,9.495,
10,10,1,6.27195811272,0,2.454733513641357,-1,6.27195811272,0.0,1,0.0,5,57.52206254008,SAT,,9.344,
11,11,1,6.2859275341,0,2.454733513641357,-1,6.2859275341,0.0,1,0.0,5,63.80799007418,SAT,,9.396,
12,12,1,1.47231602669,0,2.454733513641357,-1,1.47231602669,0.0,1,0.0,6,65.28030610086999,SAT,,3.845,
13,13,1,6.27901172638,0,2.454733513641357,-1,6.27901172638,0.0,1,0.0,6,71.55931782725,SAT,,9.244,
14,14,1,1.58026695251,0,2.454733513641357,-1,1.58026695251,0.0,1,0.0,7,73.13958477976,SAT,,3.972,
15,15,1,6.2744512558,0,2.454733513641357,-1,6.2744512558,0.0,1,0.0,7,79.41403603556,SAT,,9.279,
16,16,1,6.28136205673,0,2.454733513641357,-1,6.28136205673,0.0,1,0.0,8,85.69539809229,SAT,,9.406,
17,17,1,6.27359461784,0,2.454733513641357,-1,6.27359461784,0.0,1,0.0,8,91.96899271013001,SAT,,9.381,
18,18,1,6.26249194145,0,2.454733513641357,-1,6.26249194145,0.0,1,0.0,9,98.23148465158,SAT,,9.416,
19,19,1,6.26500916481,0,2.454733513641357,-1,6.26500916481,0.0,1,0.0,9,104.49649381639,SAT,,9.271,
20,20,1,1.37148475647,0,2.454733513641357,-1,1.37148475647,0.0,1,0.0,10,105.86797857286,SAT,,4.404,
21,21,1,1.46202683449,0,2.454733513641357,-1,1.46202683449,0.0,1,0.0,10,107.33000540735,SAT,,4.55,
22,22,1,2.47810602188,0,2.454733513641357,-1,2.47810602188,0.0,1,0.0,11,109.80811142923,SAT,,5.526,
23,23,1,6.26555728912,0,2.454733513641357,-1,6.26555728912,0.0,1,0.0,11,116.07366871834999,SAT,,9.369,
24,24,1,6.26521635056,0,2.454733513641357,-1,6.26521635056,0.0,1,0.0,12,122.33888506890999,SAT,,9.289,
25,25,1,6.28490424156,0,2.454733513641357,-1,6.28490424156,0.0,1,0.0,12,128.62378931047,SAT,,8.863,
26,26,1,2.45096373558,0,2.454733513641357,-1,2.45096373558,0.0,1,0.0,13,131.07475304604998,SAT,,4.903,
27,27,1,6.26724123955,0,2.454733513641357,-1,6.26724123955,0.0,1,0.0,13,137.34199428559998,SAT,,9.014,
28,28,1,6.25532579422,0,2.454733513641357,-1,6.25532579422,0.0,1,0.0,14,143.59732007981998,SAT,,9.293,
29,29,1,6.26717400551,0,2.454733513641357,-1,6.26717400551,0.0,1,0.0,14,149.86449408532997,SAT,,9.113,
30,30,1,1.55320167542,0,2.454733513641357,-1,1.55320167542,0.0,1,0.0,15,151.41769576074998,SAT,,4.445,
31,31,1,6.26451635361,0,2.454733513641357,-1,6.26451635361,0.0,1,0.0,15,157.68221211435997,SAT,,9.113,
32,32,1,6.26191353798,0,2.454733513641357,-1,6.26191353798,0.0,1,0.0,16,163.94412565233998,SAT,,9.236,
33,33,1,6.27083158493,0,2.454733513641357,-1,6.27083158493,0.0,1,0.0,16,170.21495723726997,SAT,,9.311,
34,34,1,1.79482007027,0,2.454733513641357,-1,1.79482007027,0.0,1,0.0,17,172.00977730753996,SAT,,4.278,
35,35,1,6.26010656357,0,2.454733513641357,-1,6.26010656357,0.0,1,0.0,17,178.26988387110995,SAT,,9.285,
36,36,1,6.293364048,0,2.454733513641357,-1,6.293364048,0.0,1,0.0,18,184.56324791910995,SAT,,9.348,
37,37,1,6.28096795082,0,2.454733513641357,-1,6.28096795082,0.0,1,0.0,18,190.84421586992997,SAT,,9.265,
38,38,1,1.37431001663,0,2.454733513641357,-1,1.37431001663,0.0,1,0.0,19,192.21852588655997,SAT,,3.791,
39,39,1,6.27321410179,0,2.454733513641357,-1,6.27321410179,0.0,1,0.0,19,198.49173998834996,SAT,,9.21,
40,40,1,1.21889424324,0,2.454733513641357,-1,1.21889424324,0.0,1,0.0,20,199.71063423158995,SAT,,4.294,
41,41,1,6.26586914062,0,2.454733513641357,-1,6.26586914062,0.0,1,0.0,20,205.97650337220995,SAT,,9.21,
42,42,1,1.1815226078,0,2.454733513641357,-1,1.1815226078,0.0,1,0.0,21,207.15802598000994,SAT,,4.144,
43,43,1,6.26059007645,0,2.454733513641357,-1,6.26059007645,0.0,1,0.0,21,213.41861605645994,SAT,,9.184,
44,44,1,6.27545499802,0,2.454733513641357,-1,6.27545499802,0.0,1,0.0,22,219.69407105447993,SAT,,9.36,
45,45,1,6.28088760376,0,2.454733513641357,-1,6.28088760376,0.0,1,0.0,22,225.97495865823993,SAT,,9.112,
