1: goal_bias='0.05', range='5.0'
2: goal_bias='0.21311760591559092', range='6.578233535486315'
3: goal_bias='0.9899737037837033', range='12.80141570774997'
4: goal_bias='0.24730466512394256', range='3.4635343044769096'
5: goal_bias='0.7362559462665491', range='11.39964250993246'
6: goal_bias='0.2419532190521808', range='4.3159196368385535'
7: goal_bias='0.5043942493953709', range='12.472601370605616'
8: goal_bias='0.3115799433421208', range='14.151847011767693'
9: goal_bias='0.6448886182354517', range='5.147939049755831'
10: goal_bias='0.0378978135828556', range='0.2162379434176928'
11: goal_bias='0.0824824010785854', range='4.242230268388204'
12: goal_bias='0.043335166739120634', range='3.9687536284639657'
13: goal_bias='0.8939994416152408', range='5.115677204090005'
14: goal_bias='0.04104089835458513', range='8.433714769204824'
15: goal_bias='0.686255969699665', range='6.80183283406554'
16: goal_bias='0.039917132874373595', range='4.446797968577822'
17: goal_bias='0.06184747765398768', range='1.6180053909724783'
18: goal_bias='0.02664165263925755', range='4.445675534824906'
19: goal_bias='0.10775848151669853', range='5.340056964717347'
20: goal_bias='0.21870905581613775', range='13.746735346229995'
21: goal_bias='0.4072730778941157', range='13.309111639862198'
22: goal_bias='0.8082430407483208', range='5.57378984331428'
23: goal_bias='0.352682859780015', range='5.760613739560979'
24: goal_bias='0.7627951102594223', range='13.413079196748654'
25: goal_bias='0.6661902948995411', range='6.068493976885921'
26: goal_bias='0.7546826462826074', range='2.894918654990192'
27: goal_bias='0.7687638838136912', range='14.628990368072126'
28: goal_bias='0.4161153518388093', range='4.221324726374875'
29: goal_bias='0.8499619165342802', range='10.96023835031858'
30: goal_bias='0.03589523102757175', range='14.996118272935872'
31: goal_bias='0.12111102295950382', range='11.703122554618531'
32: goal_bias='0.7639814256123837', range='12.678678540391914'
33: goal_bias='0.06847756723761478', range='7.140299060978659'
34: goal_bias='0.7655395021106572', range='13.121060382288881'
35: goal_bias='0.4321348587377498', range='1.1780577355870883'
36: goal_bias='0.4915425197122052', range='4.179230885674779'
37: goal_bias='0.7248576100913189', range='4.227762719656254'
38: goal_bias='0.5201255592870533', range='4.497155068951479'
39: goal_bias='0.29264510863632387', range='10.984907265025852'
40: goal_bias='0.5254978600251662', range='11.443809669867774'
41: goal_bias='0.8322207267589256', range='0.43474470730399417'
42: goal_bias='0.40059403169259444', range='5.23150218440465'
43: goal_bias='0.7142252231337474', range='10.37772162991335'
44: goal_bias='0.49075587165296286', range='4.397753935557988'
45: goal_bias='0.031026855647861007', range='3.239472760520835'
46: goal_bias='0.025890802107475408', range='5.330590437098201'
47: goal_bias='0.015816452010088633', range='8.658050889070747'
48: goal_bias='0.40873287204106845', range='11.96264933895658'
49: goal_bias='0.026544871425634553', range='11.532323594102744'
50: goal_bias='0.5148821300608334', range='11.732484800364489'
