1: range='5.0'
2: range='11.28078293629981'
3: range='1.3282005672618105'
4: range='2.7028513571141453'
5: range='4.765905713488883'
6: range='4.462571708831466'
7: range='4.656040845646416'
8: range='11.6934571946608'
9: range='2.484790280920205'
10: range='14.789959166945508'
11: range='13.703956507120608'
12: range='9.555079909242737'
13: range='14.370729191540967'
14: range='7.089278530337949'
15: range='12.86831378295841'
16: range='1.7056198211617941'
17: range='14.578462429167844'
18: range='1.3925919052979818'
19: range='4.861689445618855'
20: range='1.424642375927029'
21: range='1.4301227923337816'
22: range='1.481481960288785'
23: range='13.353855820242176'
24: range='1.548319744167551'
25: range='6.452588912489947'
26: range='1.5143541908706315'
27: range='12.988458158866113'
28: range='6.09804952307634'
29: range='12.525719040550609'
30: range='6.333502433958282'
31: range='10.269791801191046'
