1: range='5.0'
2: range='6.4861055003699235'
3: range='3.587698489248867'
4: range='4.657279481896842'
5: range='4.264149997882598'
6: range='1.1859404806057892'
7: range='5.091947223131919'
8: range='1.2560799186199665'
9: range='8.314917281016127'
10: range='11.00774005195565'
11: range='2.4019977882896204'
12: range='3.994628092044065'
13: range='13.444610868010553'
14: range='4.187792303046509'
15: range='12.773076364752455'
16: range='12.442597804462292'
17: range='4.562609651473768'
18: range='10.194073271781527'
19: range='14.961566282462503'
20: range='14.095023096443871'
21: range='0.3723299028262699'
22: range='14.301372275192241'
23: range='0.9490175061655443'
24: range='14.131089236436042'
25: range='3.052293639019208'
26: range='14.10148388683294'
27: range='4.340074356796957'
28: range='13.582694959589357'
29: range='3.322428878179751'
30: range='13.470036891798404'
31: range='9.302696811336515'
32: range='13.45081664020881'
33: range='5.57222352484734'
34: range='12.659550213144449'
35: range='2.012022496068153'
36: range='12.754448774400437'
37: range='6.060560434466186'
38: range='12.771799217872536'
39: range='2.5393431457372326'
40: range='13.447123405183753'
41: range='6.446106944198234'
42: range='12.772745070159717'
43: range='0.7044790622563667'
44: range='12.713365279583511'
45: range='14.530422658668023'
46: range='12.726614210365815'
47: range='5.607343518439246'
48: range='12.720112089402479'
49: range='7.684802106317526'
50: range='14.115878693709657'
51: range='8.665764295207675'
52: range='8.948755299763452'
53: range='1.6263134177978293'
54: range='8.851763015444304'
55: range='7.1542057735095606'
56: range='12.723186687296108'
57: range='4.927467326402613'
58: range='3.272002178986566'
59: range='12.066514979291338'
60: range='8.822251435241549'
61: range='6.360029468580756'
62: range='8.789789302198248'
63: range='2.949164111037508'
64: range='8.812294033163205'
65: range='11.269083182916026'
66: range='11.093595415586536'
67: range='12.058889962031822'
68: range='11.043847869122963'
69: range='5.714393982041375'
70: range='11.012043567972349'
71: range='13.032285220864535'
72: range='12.799735522067584'
73: range='9.272194663055531'
74: range='12.776824452228674'
75: range='0.8263258613941998'
76: range='12.775814760775537'
77: range='9.99617204313132'
78: range='12.772810718786193'
79: range='13.687181357992648'
80: range='12.774042776757353'
81: range='11.150756396577718'
82: range='12.773200699307361'
83: range='6.565245418345702'
84: range='11.757487446327827'
85: range='11.188309878727786'
86: range='12.724218401519602'
87: range='6.203203506366813'
88: range='12.77339852940312'
89: range='12.01781019856289'
90: range='11.914573932315495'
91: range='13.792020276202429'
92: range='11.86684668555578'
93: range='7.488026795770384'
94: range='11.906612261487151'
95: range='14.270601759591226'
96: range='11.894759481149594'
97: range='14.786665905069482'
98: range='12.773907105199003'
99: range='11.841377856616838'
100: range='11.88658959125997'
