Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,787.959960938,0,1.7976931348623157E308,2468361,787.959960938,0.0,1,0.0,0,787.959960938,SAT,,3.721,
2,1,1,753.09375,0,1.7976931348623157E308,16711930,753.09375,0.0,1,0.0,1,1541.053710938,SAT,,3.598,
3,2,1,851.232177734,0,1002.6875126350401,16711930,851.232177734,0.0,1,0.0,1,2392.285888672,SAT,,3.343,
4,1,1,854.337158203,0,1.7976931348623157E308,2076346,854.337158203,0.0,1,0.0,1,3246.623046875,SAT,,3.797,
5,3,1,714.178955078,0,1039.0053104866026,2076346,714.178955078,0.0,1,0.0,1,3960.802001953,SAT,,3.769,
6,3,1,718.447021484,0,2186.580688618469,16711930,718.447021484,0.0,1,0.0,1,4679.249023437,SAT,,3.116,
7,3,1,696.512939453,0,1252.5995606887816,2468361,696.512939453,0.0,1,0.0,1,5375.761962889999,SAT,,3.769,
8,3,1,869.141845703,0,1.7976931348623157E308,14601962,869.141845703,0.0,1,0.0,2,6244.903808592999,SAT,,3.458,
9,4,1,817.669189453,0,975.4438480842589,2076346,817.669189453,0.0,1,0.0,2,7062.572998045998,SAT,,3.294,
10,3,1,770.005126953,0,1.7976931348623157E308,1008424,770.005126953,0.0,1,0.0,2,7832.578124998998,SAT,,3.693,
11,5,1,841.156005859,0,980.756931828308,2468361,841.156005859,0.0,1,0.0,2,8673.734130857998,SAT,,3.793,
12,3,1,758.801025391,0,1.7976931348623157E308,11657542,758.801025391,0.0,1,0.0,3,9432.535156248998,SAT,,3.621,
13,6,1,797.184326172,0,981.8714314926146,11657542,797.184326172,0.0,1,0.0,3,10229.719482420998,SAT,,3.245,
14,3,1,783.967773438,0,1.7976931348623157E308,8066090,783.967773438,0.0,1,0.0,3,11013.687255858998,SAT,,3.696,
15,7,1,773.579833984,0,987.3413283813475,11657542,773.579833984,0.0,1,0.0,3,11787.267089842999,SAT,,3.693,
16,3,1,822.279052734,0,1.7976931348623157E308,13604892,822.279052734,0.0,1,0.0,4,12609.546142576999,SAT,,3.844,
17,8,1,712.831054688,0,997.669333313751,14601962,712.831054688,0.0,1,0.0,4,13322.377197265,SAT,,3.693,
18,8,1,784.401611328,0,2064.325027607727,2076346,784.401611328,0.0,1,0.0,4,14106.778808592999,SAT,,3.894,
19,8,1,761.408447266,0,1044.6029328811644,13604892,761.408447266,0.0,1,0.0,4,14868.187255858998,SAT,,3.774,
20,8,1,702.741455078,0,4041.44408345108,2468361,702.741455078,0.0,1,0.0,4,15570.928710936998,SAT,,3.868,
21,8,1,699.380859375,0,3127.880191849518,16711930,699.380859375,0.0,1,0.0,4,16270.309570311998,SAT,,3.768,
22,8,1,835.235839844,0,2218.6850746620175,8066090,835.235839844,0.0,1,0.0,4,17105.545410156,SAT,,3.874,
23,8,1,633.867675781,0,1132.8784828651426,11657542,633.867675781,0.0,1,0.0,4,17739.413085936998,SAT,,3.598,
24,8,1,746.219970703,0,1305.5185364234924,1008424,746.219970703,0.0,1,0.0,4,18485.63305664,SAT,,3.693,
25,8,1,714.184082031,0,1.7976931348623157E308,10213548,714.184082031,0.0,1,0.0,4,19199.817138671,SAT,,3.593,
26,9,1,709.851074219,0,952.9306330192564,13604892,709.851074219,0.0,1,0.0,4,19909.66821289,SAT,,3.592,
27,9,1,859.118408203,0,1933.9829025733945,10213548,859.118408203,0.0,1,0.0,4,20768.786621093,SAT,,3.466,
28,9,1,727.989990234,0,817.1289719093321,2076346,727.989990234,0.0,1,0.0,4,21496.776611327,SAT,,3.792,
