1: range='5.0'
2: range='11.67488477737019'
3: range='4.017313856708159'
4: range='2.7062213005206166'
5: range='13.170378670508917'
6: range='5.944515484676651'
7: range='11.75141857356623'
8: range='6.830186491827608'
9: range='13.244025390011672'
10: range='9.168661852999866'
11: range='10.1731432885361'
12: range='7.466896967996747'
13: range='6.4104447625719665'
14: range='7.8963625116161325'
15: range='1.3954336376996521'
16: range='7.501728188247624'
17: range='6.2798259062735'
18: range='2.0576367836461342'
19: range='5.97186538680911'
20: range='7.7545452590527315'
21: range='8.691640086845524'
22: range='3.8135238749027183'
23: range='6.986044841292073'
24: range='3.0528459177598175'
25: range='2.3792889680516263'
26: range='2.868337227353463'
27: range='8.461583436990264'
28: range='2.782249189376183'
29: range='13.26695201469204'
30: range='2.8317489124811197'
31: range='12.55870668667305'
32: range='2.8490807406018583'
33: range='7.38093384786941'
34: range='2.8391367262032183'
35: range='12.567153993616284'
36: range='2.8455147991541305'
37: range='12.11444490967148'
