1: range='5.0'
2: range='14.679482714054345'
3: range='14.049341672287168'
4: range='8.814296325326211'
5: range='13.429425975203548'
6: range='3.5304839800157404'
7: range='7.715619975897708'
8: range='7.191885959087102'
9: range='9.408637454112533'
10: range='9.675452140299448'
11: range='14.973356818912391'
12: range='5.422034898220857'
13: range='4.445200324940904'
14: range='4.724858212654249'
15: range='3.589262687647423'
16: range='4.947368499322926'
17: range='9.686225226175484'
18: range='4.979516425245723'
19: range='8.612322969548194'
20: range='4.995713501160401'
21: range='5.630286184605691'
22: range='5.445145365298331'
23: range='11.302309263406574'
24: range='5.427577581199413'
25: range='10.992967794880547'
26: range='12.805732932417046'
27: range='10.982191383804215'
28: range='13.232288926112776'
29: range='3.8149946235693326'
30: range='13.182082638969433'
31: range='12.457735849280212'
32: range='5.422669717247995'
33: range='13.731276098065274'
34: range='5.42618815921907'
35: range='13.388665402739157'
36: range='5.426877702583563'
37: range='11.194002226117632'
38: range='5.427016191416507'
39: range='5.14479198006863'
40: range='5.4271503114074795'
41: range='9.293646137731763'
42: range='4.998219549729353'
43: range='13.895628589202921'
44: range='5.427282121746181'
45: range='5.801870533649703'
46: range='13.105529363955558'
47: range='0.28499797826561857'
48: range='13.00731888031649'
49: range='4.128910354758756'
50: range='12.926504978233305'
51: range='14.063606813824881'
52: range='4.997614007258695'
53: range='12.91245686131604'
54: range='12.974582561525068'
55: range='8.008102218743563'
56: range='8.165401841037095'
57: range='5.198478041574773'
58: range='8.288028971985405'
59: range='12.50020828086478'
60: range='8.323516270565875'
61: range='8.939740127532824'
62: range='5.777758402430443'
63: range='2.1583508688750945'
64: range='4.997153842559684'
65: range='13.282386638299075'
66: range='4.996482676543548'
67: range='7.630277752504222'
68: range='4.996208953021709'
69: range='9.933241810826901'
70: range='5.716255195958352'
71: range='0.4408101396488008'
72: range='5.711135229640608'
73: range='2.022903222068119'
74: range='5.685396082153251'
75: range='12.860454618739428'
76: range='5.663447867415049'
77: range='4.047442124340508'
78: range='5.652454322737747'
79: range='11.608560573210891'
80: range='5.646655132407925'
81: range='8.14120598598115'
82: range='5.644592640536129'
83: range='13.12636597529599'
84: range='5.639052735019905'
85: range='12.724212155495914'
86: range='5.636716853341989'
87: range='11.306598358289513'
88: range='5.634704120054902'
89: range='6.242184913969399'
90: range='5.633443577502986'
91: range='13.49269044906484'
92: range='4.99596419177641'
93: range='13.81364720895889'
94: range='1.2421104928800255'
95: range='3.7583943042452934'
96: range='1.9012363864056299'
97: range='12.791888735196258'
98: range='5.427310790792544'
99: range='3.158433046914858'
100: range='2.0093307579408135'
