1: range='5.0'
2: range='6.520370762839919'
3: range='12.103617383446228'
4: range='4.586593792610865'
5: range='13.906525730885832'
6: range='12.345334265619126'
7: range='9.296711275038826'
8: range='1.7352303291689897'
9: range='5.773704778781247'
10: range='13.976816528895627'
11: range='3.0506751520901525'
12: range='6.02279117919976'
13: range='4.80769410711125'
14: range='6.229845094456856'
15: range='4.302345494737756'
16: range='6.349169398911012'
17: range='8.598760775048332'
18: range='3.798549963765469'
19: range='14.604506521587702'
20: range='3.575777029938577'
21: range='5.251287336941685'
22: range='6.363497738008323'
23: range='10.962390674617607'
24: range='3.4323321755107647'
25: range='11.984569666587902'
26: range='3.1997107478220124'
27: range='12.453857228651179'
28: range='6.4243161790481755'
29: range='4.960416080823513'
30: range='6.3829817818162775'
31: range='3.685495383993701'
32: range='6.367670988631295'
33: range='2.925418404956185'
34: range='6.3750311381876825'
35: range='6.165774866572707'
36: range='6.369925066416375'
37: range='10.32890049994864'
38: range='6.085473759854515'
39: range='9.029012667017337'
40: range='6.371014117084468'
41: range='9.88318216736924'
42: range='6.048037912937142'
43: range='5.595781088090466'
44: range='6.0293016428645485'
45: range='0.5337172707915092'
46: range='1.2194729306119023'
47: range='9.070215556714963'
48: range='1.605987952710454'
49: range='9.640947019269358'
50: range='1.5406243234052497'
51: range='14.682485972808385'
52: range='1.4284216793070101'
53: range='8.54260072583437'
54: range='6.035520743875432'
55: range='10.541425113824861'
56: range='5.32718957522992'
57: range='0.16010620896754485'
