Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,1.23005175591,0,1.7976931348623157E308,-1,1.23005175591,0.0,1,0.0,0,1.23005175591,SAT,,4.288,
2,2,1,0.835434913635,0,2.6016681182861325,-1,0.835434913635,0.0,1,0.0,1,2.065486669545,SAT,,3.874,
3,3,1,1.01167273521,0,2.088665913391113,-1,1.01167273521,0.0,1,0.0,1,3.0771594047549997,SAT,,4.08,
4,4,1,1.00161862373,0,2.088665913391113,-1,1.00161862373,0.0,1,0.0,2,4.078778028485,SAT,,3.99,
5,5,1,0.906390190125,0,2.088665913391113,-1,0.906390190125,0.0,1,0.0,2,4.98516821861,SAT,,3.546,
6,6,1,0.87056851387,0,2.088665913391113,-1,0.87056851387,0.0,1,0.0,3,5.8557367324800005,SAT,,3.362,
7,7,1,0.843847990036,0,2.088665913391113,-1,0.843847990036,0.0,1,0.0,3,6.699584722516001,SAT,,3.319,
8,8,1,0.856906652451,0,2.088665913391113,-1,0.856906652451,0.0,1,0.0,4,7.556491374967001,SAT,,4.077,
9,9,1,0.864853858948,0,2.088665913391113,-1,0.864853858948,0.0,1,0.0,4,8.421345233915002,SAT,,4.005,
10,10,1,0.966910362244,0,2.088665913391113,-1,0.966910362244,0.0,1,0.0,5,9.388255596159002,SAT,,3.647,
