1: x1='2.5', x2='7.5'
2: x1='2.2715954440769', x2='7.69663087626586'
3: x1='2.153951220613763', x2='9.69526867021758'
4: x1='3.0962905550411364', x2='5.285112780232922'
5: x1='3.2537833165009413', x2='1.431226599954058'
6: x1='3.620017867891688', x2='14.628763795535944'
7: x1='-1.338253821328502', x2='13.121454470011255'
8: x1='-1.106226843503642', x2='1.0739519352265754'
9: x1='-4.155683383917749', x2='13.569256374269344'
10: x1='-3.242462560465118', x2='9.294722957012928'
11: x1='-1.4988799427914579', x2='13.523051129393224'
12: x1='-0.7874935288533171', x2='5.992205502331379'
13: x1='3.3562671073699484', x2='2.1616086971306765'
14: x1='6.379932763245412', x2='5.338102780010308'
15: x1='3.350704055014887', x2='2.4692659470053373'
16: x1='-0.20060639951983017', x2='6.875547321878072'
17: x1='3.37091674880603', x2='5.097450975506735'
18: x1='6.7695033997140825', x2='2.2533775013433215'
19: x1='3.4294741802990227', x2='2.0394333234032596'
20: x1='0.43409669028659525', x2='2.2871141433592657'
21: x1='3.4524756613611842', x2='5.399078946944763'
22: x1='-0.7089281818113786', x2='3.9999148635695487'
23: x1='3.121323060973877', x2='14.118675663537578'
24: x1='-4.444538660101831', x2='3.341995148599264'
25: x1='-3.275490884858635', x2='14.13395260827049'
26: x1='0.8633370185390001', x2='2.5169686442478714'
27: x1='-3.0935304417938694', x2='14.131465864763786'
28: x1='-4.818766056501463', x2='9.210600897777127'
29: x1='-3.4967212211274723', x2='14.103242988864146'
30: x1='4.762672501130348', x2='1.9680669251540333'
31: x1='-3.3238023945122803', x2='14.135732204882729'
32: x1='2.7678742097102793', x2='3.145760027554187'
33: x1='-3.0452738450516486', x2='14.232100958023452'
34: x1='9.46075327814755', x2='4.826308146849162'
35: x1='-3.798887928494433', x2='14.204146446709577'
36: x1='6.959882914436836', x2='7.640523071693336'
37: x1='-3.240626877892896', x2='3.608654520481567'
38: x1='8.6149804089681', x2='11.496746730309706'
39: x1='-3.2342505272882427', x2='3.586196104721593'
40: x1='5.033082949368756', x2='7.747663214011485'
41: x1='2.998300950181722', x2='3.60297988755689'
42: x1='8.575082872003904', x2='10.166360419651149'
43: x1='2.9142841669047748', x2='3.4884040232672358'
44: x1='-3.7875696494165227', x2='14.27706844612616'
45: x1='-4.6228715735641375', x2='1.4450921731022932'
46: x1='-3.847960087036956', x2='14.260287066693207'
47: x1='-4.456667030084661', x2='13.49320548899229'
48: x1='-3.9910826385519327', x2='14.285445271835117'
49: x1='-4.483885984481975', x2='12.136504544974736'
50: x1='3.1829385097638294', x2='2.7615516716891495'
51: x1='-2.085202204955339', x2='5.095502144596612'
52: x1='3.122852791625016', x2='2.5522813363590697'
53: x1='-1.69543862850679', x2='9.89225349143394'
54: x1='3.183032339553222', x2='1.9982827928188518'
55: x1='-3.44648421092739', x2='14.377171427762304'
56: x1='-0.5332344978316916', x2='4.966395690695106'
57: x1='-3.4745262206771694', x2='14.387775897853238'
58: x1='-4.099050118857795', x2='10.882333535845184'
59: x1='3.1809316721419307', x2='3.437273986991156'
60: x1='-0.16283297676812936', x2='3.3272482193491597'
61: x1='3.4607098495565136', x2='3.221029255093408'
62: x1='-2.9963875657241994', x2='14.704110782774729'
63: x1='3.2157581719799495', x2='3.2458659643058536'
64: x1='9.43473393319288', x2='8.701754271274545'
65: x1='3.3562671073699484', x2='3.254527811333253'
66: x1='3.103115257029918', x2='9.796180874601513'
67: x1='8.630234833574105', x2='14.313213994898108'
68: x1='-1.7765750930237143', x2='14.12937370427996'
69: x1='5.832683898101832', x2='8.14489314806861'
70: x1='3.4915225685101916', x2='14.23222871395831'
71: x1='-0.14907177410767503', x2='10.6676954778624'
72: x1='3.143490951490028', x2='1.2329161057643905'
73: x1='9.837349044853953', x2='5.880446205472479'
74: x1='3.1960288152857057', x2='1.6362056927600195'
75: x1='6.6297001092905194', x2='8.62665334496296'
76: x1='3.2133857947892572', x2='0.8732613501983483'
77: x1='3.1137583285680748', x2='2.4143633555552113'
78: x1='2.013592271442838', x2='11.021181765021682'
79: x1='3.4782463067021716', x2='1.9409570106240053'
80: x1='2.262835182126029', x2='7.240756358680428'
81: x1='3.475234960375854', x2='0.9926087508025572'
82: x1='-3.0570510311462646', x2='7.470839497243195'
83: x1='3.4767037288420237', x2='1.1654111344468254'
84: x1='6.887443525869211', x2='5.9403024755505935'
85: x1='3.485527690540671', x2='3.178898388382516'
86: x1='0.7335857200746361', x2='8.515463463599046'
87: x1='3.5268710236375433', x2='2.5484719497400676'
88: x1='3.115948184594423', x2='2.7492457629338105'
89: x1='3.083436827945164', x2='6.910924262520352'
90: x1='3.4889022824077216', x2='0.6370345170532488'
91: x1='7.282502966833203', x2='12.069020886400216'
92: x1='3.500318299146315', x2='1.8243868274325048'
93: x1='-2.8056829544185353', x2='4.413435368268858'
94: x1='-4.529863000274834', x2='14.155126234508199'
95: x1='4.15321550970641', x2='2.309265985844184'
96: x1='-4.543466034415759', x2='14.320236166870092'
97: x1='-0.1211390750861785', x2='5.827006811810059'
98: x1='3.5120626398171595', x2='1.0404405677334772'
99: x1='3.5978845109748274', x2='2.523857450028846'
100: x1='-1.2630077644953301', x2='8.070548397533996'
101: x1='3.6074438452972046', x2='2.3505787276683106'
102: x1='6.448532697483117', x2='4.492661553961408'
103: x1='3.5766652615781442', x2='2.1435345755437667'
104: x1='-1.2587136969970985', x2='6.068661780980853'
105: x1='3.561802231337964', x2='2.144349838046307'
106: x1='7.423361130993076', x2='10.70816828995185'
107: x1='3.5644323279806294', x2='1.548301538260675'
108: x1='-0.6765040010222103', x2='4.188416691781422'
109: x1='3.5636447484457623', x2='2.256554710711213'
110: x1='3.1211784045601156', x2='2.114898005765084'
111: x1='9.144981765484546', x2='5.2069135567354365'
112: x1='-2.850738152057788', x2='14.236822820529202'
113: x1='2.586982909798503', x2='5.757665586217959'
114: x1='-2.603399291536927', x2='14.242585553335816'
115: x1='-2.162333922641026', x2='4.9716994003306905'
116: x1='-2.7253183683476423', x2='14.23470331667645'
117: x1='1.4017716488596914', x2='13.478452830667742'
118: x1='-3.7364398201810762', x2='6.093681497903075'
119: x1='-3.5998615699727647', x2='11.044683873716203'
120: x1='-3.526851827305235', x2='5.811968830783142'
121: x1='3.6132769600899017', x2='1.435758610919882'
122: x1='-4.090394432665423', x2='2.2016899994176113'
123: x1='3.6184748211200173', x2='0.6075124143927602'
124: x1='7.216265665280892', x2='11.041583505227576'
125: x1='-4.321264530266451', x2='1.107876756728528'
126: x1='-4.193206916166275', x2='7.612416006513745'
127: x1='3.663361226043424', x2='2.06496494193409'
128: x1='1.330002593002905', x2='14.591137919315901'
129: x1='3.6394687261917333', x2='1.1599715787080371'
130: x1='-3.234845911212745', x2='8.002320057810904'
131: x1='3.682371893336235', x2='1.5326605629470225'
132: x1='-4.123636709199816', x2='7.270853123983974'
133: x1='5.9432237264406815', x2='11.877630741618786'
134: x1='-4.102175090527755', x2='7.497035249514919'
135: x1='7.072401235064547', x2='11.851253609387562'
136: x1='-4.207497955879286', x2='7.340889380178623'
137: x1='2.5461542424853087', x2='11.602486625828483'
138: x1='-4.193206916166275', x2='7.369359033588236'
139: x1='1.9421133031313822', x2='8.405175203623086'
140: x1='-4.5686026773935815', x2='7.273415566059046'
141: x1='4.776758713422566', x2='14.11979779501433'
142: x1='-4.568875357154116', x2='7.2799352425566015'
143: x1='4.162177078227346', x2='3.522364722275724'
144: x1='-1.4585954115959443', x2='8.494547827107759'
145: x1='3.2985113638962478', x2='5.514364646569322'
146: x1='6.334592500039671', x2='1.1906794405681265'
147: x1='3.3008638384389997', x2='5.784238257319899'
148: x1='9.045869793063066', x2='8.659079528195054'
149: x1='3.1318776143873546', x2='5.771197694045761'
150: x1='4.689788319215552', x2='10.076400890315687'
151: x1='3.176859978796182', x2='5.78651282442392'
152: x1='6.645280685593397', x2='10.815774257600323'
153: x1='3.328021169030512', x2='5.921175210328853'
154: x1='3.4671281183424867', x2='3.641301198477441'
155: x1='-0.6478642473868153', x2='7.686917801483214'
156: x1='3.4655128927118675', x2='5.855491562700587'
157: x1='9.623817764580117', x2='2.6619444474593723'
158: x1='-4.837397525136067', x2='14.527815127724446'
159: x1='3.2145373975291367', x2='1.9534246384883636'
160: x1='-4.636102378634389', x2='14.14072861733365'
161: x1='3.159751347353975', x2='5.616520606203966'
162: x1='-4.8757126858461035', x2='13.898111180116047'
163: x1='1.2413032515815665', x2='9.49918818228101'
164: x1='-4.667607388434025', x2='14.22635372196106'
165: x1='3.1137583285680748', x2='3.714527465494229'
166: x1='2.1503299916686043', x2='0.9893933278977479'
167: x1='3.115948184594423', x2='3.7547859694287'
168: x1='9.554997608739125', x2='13.383729168191332'
169: x1='3.1211784045601156', x2='4.278155135065405'
170: x1='-3.863827699609237', x2='7.300717716008773'
171: x1='3.1261501086170345', x2='3.9653567799861693'
172: x1='4.808017383119246', x2='2.2445965247796353'
173: x1='3.1285947479819836', x2='4.178309014131013'
174: x1='3.711994080841892', x2='7.493414040706429'
175: x1='3.4257420315648304', x2='14.337494076039285'
176: x1='5.495692399840536', x2='1.2365677930991263'
177: x1='2.7542658643430578', x2='14.25952768115625'
178: x1='1.4468994570701224', x2='14.150634076544643'
179: x1='2.8746150987079897', x2='14.339187816989718'
180: x1='6.3098209291853795', x2='12.603640921675927'
181: x1='3.042224979110717', x2='14.316210150267377'
182: x1='6.4298203149142825', x2='3.397087667247895'
183: x1='2.9520599555185516', x2='14.38846511756039'
184: x1='8.6901119988645', x2='14.310950360171818'
185: x1='-3.6114466688557356', x2='14.14861663303878'
186: x1='-2.4816693842414606', x2='2.945931903675974'
187: x1='-2.690892974712247', x2='14.14206773323359'
188: x1='3.8046564758695762', x2='10.060679873757142'
189: x1='-4.252065657599162', x2='14.151373471233251'
190: x1='2.887041430010963', x2='7.138197607589646'
191: x1='-4.469631110092341', x2='14.149219665696718'
192: x1='7.68703809155841', x2='10.555088016770233'
193: x1='1.2827407804309727', x2='14.937640077406705'
194: x1='-0.20635968763778223', x2='7.446242630968008'
195: x1='1.0784370304787299', x2='1.1339546523311568'
196: x1='9.05605260193972', x2='8.459668873019108'
