Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,24.129964,0,1.7976931348623157E308,-1,0.0,0.0,1,24.129964,0,0.0,SAT,,0.042,
2,2,1,25.387804,0,1.7976931348623157E308,-1,0.0,0.0,1,25.387804,1,0.0,SAT,,0.028,
3,3,1,47.275548,0,1.7976931348623157E308,-1,0.0,0.0,1,47.275548,1,0.0,SAT,,0.028,
4,4,1,9.255498,0,1.7976931348623157E308,-1,0.0,0.0,1,9.255498,1,0.0,SAT,,0.029,
5,5,1,1.032676,0,1.7976931348623157E308,-1,0.0,0.0,1,1.032676,1,0.0,SAT,,0.03,
6,6,1,162.697404,0,1.7976931348623157E308,-1,0.0,0.0,1,162.697404,1,0.0,SAT,,0.028,
7,7,1,34.872313,0,1.7976931348623157E308,-1,0.0,0.0,1,34.872313,1,0.0,SAT,,0.026,
8,8,1,61.152724,0,1.7976931348623157E308,-1,0.0,0.0,1,61.152724,1,0.0,SAT,,0.033,
9,9,1,6.553723,0,1.7976931348623157E308,-1,0.0,0.0,1,6.553723,1,0.0,SAT,,0.028,
10,10,1,10.84091,0,1.7976931348623157E308,-1,0.0,0.0,1,10.84091,1,0.0,SAT,,0.028,
11,11,1,34.186062,0,1.7976931348623157E308,-1,0.0,0.0,1,34.186062,1,0.0,SAT,,0.028,
12,12,1,18.574409,0,1.7976931348623157E308,-1,0.0,0.0,1,18.574409,1,0.0,SAT,,0.028,
13,13,1,0.620607,0,1.7976931348623157E308,-1,0.0,0.0,1,0.620607,2,0.0,SAT,,0.03,
14,14,1,37.482391,0,1.7976931348623157E308,-1,0.0,0.0,1,37.482391,2,0.0,SAT,,0.032,
15,15,1,0.730751,0,1.7976931348623157E308,-1,0.0,0.0,1,0.730751,2,0.0,SAT,,0.027,
16,16,1,19.713233,0,1.7976931348623157E308,-1,0.0,0.0,1,19.713233,2,0.0,SAT,,0.028,
17,17,1,9.616285,0,1.7976931348623157E308,-1,0.0,0.0,1,9.616285,2,0.0,SAT,,0.028,
18,18,1,19.715053,0,1.7976931348623157E308,-1,0.0,0.0,1,19.715053,2,0.0,SAT,,0.028,
19,19,1,0.793512,0,1.7976931348623157E308,-1,0.0,0.0,1,0.793512,2,0.0,SAT,,0.028,
20,20,1,27.991726,0,1.7976931348623157E308,-1,0.0,0.0,1,27.991726,2,0.0,SAT,,0.028,
21,21,1,12.10775,0,1.7976931348623157E308,-1,0.0,0.0,1,12.10775,2,0.0,SAT,,0.028,
22,22,1,27.485776,0,1.7976931348623157E308,-1,0.0,0.0,1,27.485776,2,0.0,SAT,,0.028,
23,23,1,140.297071,0,1.7976931348623157E308,-1,0.0,0.0,1,140.297071,3,0.0,SAT,,0.031,
24,24,1,158.345759,0,1.7976931348623157E308,-1,0.0,0.0,1,158.345759,3,0.0,SAT,,0.027,
25,25,1,2.839591,0,1.7976931348623157E308,-1,0.0,0.0,1,2.839591,3,0.0,SAT,,0.026,
26,26,1,21.103701,0,1.7976931348623157E308,-1,0.0,0.0,1,21.103701,3,0.0,SAT,,0.028,
27,27,1,4.296468,0,1.7976931348623157E308,-1,0.0,0.0,1,4.296468,3,0.0,SAT,,0.027,
28,28,1,66.647745,0,1.7976931348623157E308,-1,0.0,0.0,1,66.647745,3,0.0,SAT,,0.027,
29,29,1,1.915748,0,1.7976931348623157E308,-1,0.0,0.0,1,1.915748,3,0.0,SAT,,0.027,
30,30,1,10.864298,0,1.7976931348623157E308,-1,0.0,0.0,1,10.864298,3,0.0,SAT,,0.027,
31,31,1,2.569127,0,1.7976931348623157E308,-1,0.0,0.0,1,2.569127,3,0.0,SAT,,0.027,
32,32,1,1.375685,0,1.7976931348623157E308,-1,0.0,0.0,1,1.375685,3,0.0,SAT,,0.027,
33,33,1,5.227024,0,1.7976931348623157E308,-1,0.0,0.0,1,5.227024,4,0.0,SAT,,0.027,
34,34,1,5.79019,0,1.7976931348623157E308,-1,0.0,0.0,1,5.79019,4,0.0,SAT,,0.03,
35,35,1,2.484767,0,1.7976931348623157E308,-1,0.0,0.0,1,2.484767,4,0.0,SAT,,0.028,
36,36,1,59.215604,0,1.7976931348623157E308,-1,0.0,0.0,1,59.215604,4,0.0,SAT,,0.028,
37,37,1,79.754923,0,1.7976931348623157E308,-1,0.0,0.0,1,79.754923,4,0.0,SAT,,0.028,
38,38,1,95.924516,0,1.7976931348623157E308,-1,0.0,0.0,1,95.924516,4,0.0,SAT,,0.028,
39,39,1,79.873375,0,1.7976931348623157E308,-1,0.0,0.0,1,79.873375,4,0.0,SAT,,0.032,
40,40,1,55.089464,0,1.7976931348623157E308,-1,0.0,0.0,1,55.089464,4,0.0,SAT,,0.027,
41,41,1,1.969073,0,1.7976931348623157E308,-1,0.0,0.0,1,1.969073,4,0.0,SAT,,0.028,
42,42,1,72.796923,0,1.7976931348623157E308,-1,0.0,0.0,1,72.796923,4,0.0,SAT,,0.027,
43,43,1,1.704677,0,1.7976931348623157E308,-1,0.0,0.0,1,1.704677,4,0.0,SAT,,0.027,
44,44,1,2.489195,0,1.7976931348623157E308,-1,0.0,0.0,1,2.489195,5,0.0,SAT,,0.029,
45,45,1,224.445301,0,1.7976931348623157E308,-1,0.0,0.0,1,224.445301,5,0.0,SAT,,0.026,
46,46,1,2.745281,0,1.7976931348623157E308,-1,0.0,0.0,1,2.745281,5,0.0,SAT,,0.026,
47,47,1,12.261234,0,1.7976931348623157E308,-1,0.0,0.0,1,12.261234,5,0.0,SAT,,0.03,
48,48,1,3.674541,0,1.7976931348623157E308,-1,0.0,0.0,1,3.674541,5,0.0,SAT,,0.026,
49,49,1,20.764107,0,1.7976931348623157E308,-1,0.0,0.0,1,20.764107,5,0.0,SAT,,0.029,
50,50,1,0.675013,0,1.7976931348623157E308,-1,0.0,0.0,1,0.675013,5,0.0,SAT,,0.026,
51,51,1,28.17089,0,1.7976931348623157E308,-1,0.0,0.0,1,28.17089,5,0.0,SAT,,0.026,
52,52,1,0.468543,0,1.7976931348623157E308,-1,0.0,0.0,1,0.468543,5,0.0,SAT,,0.028,
53,53,1,9.482834,0,1.7976931348623157E308,-1,0.0,0.0,1,9.482834,5,0.0,SAT,,0.029,
54,54,1,0.465971,0,1.7976931348623157E308,-1,0.0,0.0,1,0.465971,5,0.0,SAT,,0.031,
55,55,1,2.683372,0,1.7976931348623157E308,-1,0.0,0.0,1,2.683372,6,0.0,SAT,,0.028,
56,56,1,21.951609,0,1.7976931348623157E308,-1,0.0,0.0,1,21.951609,6,0.0,SAT,,0.026,
57,57,1,2.610842,0,1.7976931348623157E308,-1,0.0,0.0,1,2.610842,6,0.0,SAT,,0.027,
58,58,1,19.005067,0,1.7976931348623157E308,-1,0.0,0.0,1,19.005067,6,0.0,SAT,,0.027,
59,59,1,1.827976,0,1.7976931348623157E308,-1,0.0,0.0,1,1.827976,6,0.0,SAT,,0.028,
60,60,1,28.09128,0,1.7976931348623157E308,-1,0.0,0.0,1,28.09128,6,0.0,SAT,,0.034,
61,61,1,2.279181,0,1.7976931348623157E308,-1,0.0,0.0,1,2.279181,6,0.0,SAT,,0.028,
62,62,1,8.201503,0,1.7976931348623157E308,-1,0.0,0.0,1,8.201503,6,0.0,SAT,,0.027,
63,63,1,1.481055,0,1.7976931348623157E308,-1,0.0,0.0,1,1.481055,6,0.0,SAT,,0.027,
64,64,1,39.066158,0,1.7976931348623157E308,-1,0.0,0.0,1,39.066158,6,0.0,SAT,,0.028,
65,65,1,1.920155,0,1.7976931348623157E308,-1,0.0,0.0,1,1.920155,6,0.0,SAT,,0.03,
66,66,1,56.519816,0,1.7976931348623157E308,-1,0.0,0.0,1,56.519816,7,0.0,SAT,,0.031,
67,67,1,157.699852,0,1.7976931348623157E308,-1,0.0,0.0,1,157.699852,7,0.0,SAT,,0.026,
68,68,1,31.990533,0,1.7976931348623157E308,-1,0.0,0.0,1,31.990533,7,0.0,SAT,,0.029,
69,69,1,68.107397,0,1.7976931348623157E308,-1,0.0,0.0,1,68.107397,7,0.0,SAT,,0.036,
70,70,1,150.169078,0,1.7976931348623157E308,-1,0.0,0.0,1,150.169078,7,0.0,SAT,,0.027,
71,71,1,39.098992,0,1.7976931348623157E308,-1,0.0,0.0,1,39.098992,7,0.0,SAT,,0.026,
72,72,1,1.480761,0,1.7976931348623157E308,-1,0.0,0.0,1,1.480761,7,0.0,SAT,,0.026,
73,73,1,10.417497,0,1.7976931348623157E308,-1,0.0,0.0,1,10.417497,7,0.0,SAT,,0.026,
74,74,1,0.768191,0,1.7976931348623157E308,-1,0.0,0.0,1,0.768191,7,0.0,SAT,,0.026,
75,75,1,75.283062,0,1.7976931348623157E308,-1,0.0,0.0,1,75.283062,7,0.0,SAT,,0.027,
76,76,1,2.235459,0,1.7976931348623157E308,-1,0.0,0.0,1,2.235459,7,0.0,SAT,,0.026,
77,77,1,0.415426,0,1.7976931348623157E308,-1,0.0,0.0,1,0.415426,8,0.0,SAT,,0.026,
78,78,1,65.208581,0,1.7976931348623157E308,-1,0.0,0.0,1,65.208581,8,0.0,SAT,,0.027,
79,79,1,0.944319,0,1.7976931348623157E308,-1,0.0,0.0,1,0.944319,8,0.0,SAT,,0.027,
80,80,1,21.35099,0,1.7976931348623157E308,-1,0.0,0.0,1,21.35099,8,0.0,SAT,,0.028,
81,81,1,2.001881,0,1.7976931348623157E308,-1,0.0,0.0,1,2.001881,8,0.0,SAT,,0.027,
82,82,1,21.609757,0,1.7976931348623157E308,-1,0.0,0.0,1,21.609757,8,0.0,SAT,,0.028,
83,83,1,1.676366,0,1.7976931348623157E308,-1,0.0,0.0,1,1.676366,8,0.0,SAT,,0.027,
